song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Merry Xmas Everybody,Slade,1973,Group,male,00:03:40,english,Manuel,new,20211207,3.294,xmas
Minor Moon,Creedence Clearwater Revival,1969,Group,male,00:02:22,english,Bernard,off,20221101,2.095,halloween
Misirlou,Dick Dale,1959,Person,male,00:02:15,,Manuel,off,,,
Mistletoe and Wine,Cliff Richard,1988,Person,male,00:04:00,english,Manuel,new,20211207,,xmas
Moi... Lolita,Alizée,2000,Person,female,00:04:16,french,Bernard,new,20230718,2.809,
Monster Mash,Bobby (Boris) Pickett and the Crypt-Kickers,1962,Group,male,00:03:06,english,Bernard,off,20221101,1.565,"halloween,temp"
Moves Like Jagger,Maroon 5 (feat. Christina Aguilera),2011,Group,male,00:03:22,english,Manuel,new,,,
Mr. Jones,Counting Crows,1991,Group,male,00:04:28,english,Manuel,old,,,
Nightcall,Kavinsky,2010,Person,male,00:03:52,english,Manuel,new,20241015,2.232,"halloween,temp"
Not Fair,Lily Allen,2009,Person,female,00:03:22,english,Adelaide,new,20230307,2.192,"regular,womens"
Nothing Compares 2 U,Sinéad O'Connor,1990,Person,female,00:04:42,english,Manuel,new,20230314,2.589,"regular,valentines,paddys,womens"
Numb,Linkin Park,2002,Group,male,00:03:06,english,Manuel,new,,,
O Canada,Calixa Lavallée,2013,Person,ensemble,00:01:26,"english,french",Kaitlyn,new,20240702,2.628,canada
One Way or Another,Blondie,1979,Group,female,00:03:20,english,Manuel,new,20231031,4.526,"halloween,valentines,womens,pride"
"Paint it, Black",The Rolling Stones,1966,Group,male,00:03:22,english,Manuel,old,20211109,2.248,regular
Pencil Full of Lead,Paolo Nutini,2009,Person,male,00:02:26,english,Manuel,new,,,
Pineapple Mango,Daniel Ho,2013,Person,male,00:02:46,"hawaiian,english",Manuel,new,20240827,1.082,
Price Tag,Jessie J (feat. B.o.B),2011,Person,female,00:03:40,english,Manuel,old,20220517,1.913,"regular,womens"
Proud Mary,Tina Turner,1993,Person,female,00:05:22,english,Manuel,new,20230530,1.884,"regular,womens,pride"
Psycho Killer,Talking Heads,1977,Group,male,00:04:14,"english,french",Bernard,old,20210907,1.805,regular
Radio Gaga,Queen,1984,Group,male,00:05:48,english,Manuel,new,20230620,3.555,pride
Re: Your Brains,Jonathan Coulton,2006,Person,male,00:04:26,english,Bernard,off,20221101,4.604,halloween
Red Wine Supernova,Chappell Roan,2023,Person,female,00:03:12,english,Adelaide,new,20240625,1.468,"regular,pride"
Rehab,Amy Winehouse,2006,Person,female,00:03:32,english,Manuel,new,,2.458,
Respect,Aretha Franklin,1967,Person,female,00:02:22,english,Manuel,new,20240312,2.549,"regular,womens,pride"
Ripples in the Rockpool,Rita Connolly,1995,Person,female,00:03:24,english,Manuel,new,,,
Riptide,Vance Joy,2013,Person,male,00:03:18,english,Manuel,off,,,
Roar,Katy Perry,2013,Person,female,00:03:40,english,Manuel,new,20230620,2.16,pride
Santa Baby,"Ariana Grande, Liz Gillies",2013,Person,female,00:02:48,english,Manuel,new,20221206,1.683,xmas
Sarà Perché Ti Amo,Ricchi E Poveri,1981,Group,duet,00:02:57,italian,Bernard,new,20240521,3.176,regular
Self Control,Laura Branigan,1984,Person,female,00:03:50,english,Manuel,new,20231024,2.733,"valentines,womens"
Set Fire to the Rain,Adele,2011,Person,female,00:03:54,english,Manuel,new,20221129,2.365,"regular,womens"
Shake It Off,Taylor Swift,2014,Person,female,00:03:34,english,Jacques,new,20240702,0.694,us
Shake It Out,Florence + The Machine,2011,Person,female,00:04:22,english,Manuel,new,,,
She Wolf,Shakira,2009,Person,female,00:03:06,english,Manuel,new,20221101,2.052,"halloween,temp"
Should I Stay or Should I Go,The Clash,1982,Group,male,00:03:06,"english,spanish",Manuel,old,20210907,1.535,regular
Silent Night,Taylor Swift,2007,Person,female,00:03:04,english,Manuel,new,20211207,1.983,xmas
Since U Been Gone,Kelly Clarkson,2004,Person,female,00:03:06,english,Jacques,new,20230307,2.464,"regular,womens"
Sit Down,James,1990,Group,male,00:03:52,english,Manuel,new,,,
So What,P!nk,2008,Person,female,00:03:35,english,Adelaide,new,20240625,2.279,"regular,pride"
Somebody that I used to know,Gotye (feat. Kimbra),2011,Person,female,00:04:02,english,Adelaide,new,,,
Somebody to Love,Queen,1976,Group,male,00:05:00,english,Manuel,new,20230516,,
Somebody's Watching Me,Rockwell,1984,Person,male,00:03:40,english,Manuel,new,20231031,3.231,halloween
Song For Jedi,Dionysos,2002,Group,male,00:02:56,"french,english",Bernard,new,20220712,3.126,
Space Oddity,David Bowie,1969,Person,male,00:04:50,english,Jacques,off,20220405,3.841,"regular,pride"
Spice Up Your Life,Spice Girls,1997,Group,female,00:02:46,english,Manuel,new,20220621,1.02,"regular,womens"
Stay Stay Stay,Taylor Swift,2012,Person,female,00:03:22,english,Jacques,new,20230307,1.461,valentines
Step Into Christmas,Elton John,1973,Person,male,00:04:30,english,Manuel,new,20221206,,xmas
Stuck in the Middle with You,Stealers Wheel,1972,Group,male,00:03:20,english,Manuel,old,20220510,1.244,regular
"Sugar, We're Goin Down",Fall Out Boy,2005,Group,male,00:03:34,english,Bernard,new,20240702,2.208,us
Summer of '69,Bryan Adams,1985,Person,male,00:03:20,english,Manuel,old,20220621,2.119,"regular,valentines"
